Account,Identifier,Account ID,Transaction Id,Currency,Transaction Type,Post Date,Amount
LCI - PNC - Trading 6012,CCYUSD,369037,1721860027,USD,Cash Transfer,11/25/2025,17970000.00
LCFHR-BNY MMF-6284,CCYUSD,369188,1707253183,USD,Cash Transfer,11/6/2025,18000000.00
LCFHR - PNC Trading 9924,CCYUSD,369038,1715446332,USD,Cash Transfer,11/18/2025,20000000.00
LCFHR-CASH MGMT,CCYUSD,539769,1707511831,USD,Cash Transfer,11/6/2025,20020755.56
LCFHR - PNC Trading 9924,CCYUSD,369038,1715446330,USD,Cash Transfer,11/18/2025,20070850.86
LCFHR - PNC Trading 9924,CCYUSD,369038,1705487945,USD,Cash Transfer,11/4/2025,22520000.00
LCFHR - PNC Trading 9924,CCYUSD,369038,1706309644,USD,Cash Transfer,11/5/2025,44055000.00
LCREP-PNC-Trading7277,CCYUSD,369050,1706309676,USD,Cash Transfer,11/5/2025,44500000.00
LTRS1-PNC-Trading5984,CCYUSD,369039,1707275327,USD,Cash Transfer,11/6/2025,45000000.00
LCF-PNC-Trading9916,CCYUSD,369041,1707275402,USD,Cash Transfer,11/6/2025,45000000.00
LCR3-PNC-Trading6047,CCYUSD,369044,1707275420,USD,Cash Transfer,11/6/2025,45000000.00
LCFHR - PNC Trading 9924,CCYUSD,369038,1707275482,USD,Cash Transfer,11/6/2025,46055000.00
LCC-PNC-8268,CCYUSD,369052,1707275885,USD,Cash Transfer,11/6/2025,46055000.00
LTRS1-PNC-Trading5984,CCYUSD,369039,1716342365,USD,Cash Transfer,11/19/2025,49000000.00
LCF-PNC-Trading9916,CCYUSD,369041,1716342446,USD,Cash Transfer,11/19/2025,49000000.00
LCC-PNC-8268,CCYUSD,369052,1716342486,USD,Cash Transfer,11/19/2025,49000000.00
LCFHR - PNC Trading 9924,CCYUSD,369038,1707275479,USD,Cash Transfer,11/6/2025,50350316.75
LCFHR - PNC Trading 9924,CCYUSD,369038,1721888878,USD,Cash Transfer,11/25/2025,55000000.00
LCFHR - PNC Trading 9924,CCYUSD,369038,1716342294,USD,Cash Transfer,11/19/2025,57592583.00
LCFHR - PNC Trading 9924,CCYUSD,369038,1721888969,USD,Cash Transfer,11/25/2025,80000000.00
LTRS1-PNC-Trading5984,CCYUSD,369039,1721859766,USD,Cash Transfer,11/25/2025,98000000.00
LCF-PNC-Trading9916,CCYUSD,369041,1721860178,USD,Cash Transfer,11/25/2025,98000000.00
LCC-PNC-8268,CCYUSD,369052,1721859905,USD,Cash Transfer,11/25/2025,98000000.00
